label,Fully trust,Trust,Neither trust nor distrust,Distrust,Strongly distrust,Don't know/Refuse to answer
Before the scandal,33.4,37.9,20.2,4.0,3.1,1.4
After the scandal,22.2,33.9,30.9,10.4,0.0,2.7
