label,სრულად ვენდობი,ძირითადად ვენდობი,ნაწილობრივ ვენდობი, ნაწილობრივ არა ,ძირითადად არ ვენდობი,საერთოდ არ ვენდობი,არ ვიცი / უარი პასუხზე
სკანდალის წინ,33,38,20,4,3,1
სკანდალის შემდეგ,22,34,31,10,0,3
