label,Полностью доверяю,Доверяю,"Нет ни доверия, ни недоверия",Не доверяю,Очень не доверяю,Не знаю/Отказ отвечать
После скандала,33.4,37.9,20.2,4.0,3.1,1.4
До скандала,22.2,33.9,30.9,10.4,0.0,2.7
