facet,x,y,err
Тип поселения,Столица,0.151315,0.052348
Тип поселения,Город,0.1632885,0.05220555
Тип поселения,Село,0.2242379,0.0645604
Образование,Среднее<br>или<br>начальное,0.2347678,0.0677535
Образование,Среднее<br>техническое,0.200553,0.0829236
Образование,Высшее,0.1208909,0.0371971
